Date,Open,High,Low,Close,Volume,- SPREAD -
19-05-2021,79306.00,79966.70,78350.20,79645.65,761,"1,616.50"
18-05-2021,79100.00,79956.30,78466.20,79241.15,977,"1,490.10"
17-05-2021,76827.75,78386.80,76001.05,78198.95,1610,"2,385.75"
19-05-2022,73000.55,74216.50,73000.55,73488.10,156,"1,215.95"
14-05-2021,77724.95,77777.00,76000.00,76161.80,1857,"1,777.00"
12-05-2021,78105.00,79159.00,77022.05,77333.80,1505,"2,136.95"
11-05-2021,78300.00,79533.65,77526.00,78629.40,1243,"2,007.65"
10-05-2021,77650.00,78710.00,77550.00,78400.25,1369,"1,160.00"
07-05-2021,78499.70,78700.00,77245.00,77465.05,1084,"1,455.00"
06-05-2021,78000.10,79109.75,77747.15,77920.95,831,"1,362.60"
05-05-2021,79150.00,79337.05,77500.30,78241.60,924,"1,836.75"
04-05-2021,80720.90,80808.90,78391.10,78648.10,1093,"2,417.80"
03-05-2021,80101.10,81105.95,79200.00,79871.70,934,"1,905.95"
30-04-2021,77800.00,81700.00,77151.80,80721.45,3198,"4,548.20"
18-05-2022,74000.00,74735.00,73793.55,74575.15,404,941.45
29-04-2021,79000.00,79000.00,77502.85,77712.60,1029,"1,497.15"
28-04-2021,78040.10,79250.00,77870.85,78093.30,1056,"1,379.15"
27-04-2021,78038.30,78400.00,77668.20,78036.60,605,731.80
26-04-2021,78599.75,79200.00,77530.00,77868.40,742,"1,670.00"
23-04-2021,78390.00,78841.25,77900.00,78254.55,760,941.25
22-04-2021,79050.00,79200.85,77656.60,78332.15,893,"1,544.25"
20-04-2021,80500.00,80618.25,78657.45,79362.85,1342,"1,960.80"
19-04-2021,80100.00,80199.85,78776.00,79291.15,941,"1,423.85"
16-04-2021,81223.70,81950.00,80985.05,81326.50,886,964.95
15-04-2021,81800.00,82435.95,79400.00,81080.50,1029,"3,035.95"
23-06-2022,68258.55,69200.00,68013.05,68980.40,352,"1,186.95"
17-05-2022,72600.00,74200.00,72560.20,73983.25,754,"1,639.80"
13-04-2021,79300.00,83000.00,79000.00,82698.30,1312,"4,000.00"
12-04-2021,81500.00,81500.00,78990.00,79354.60,995,"2,510.00"
09-04-2021,82547.05,83621.15,81500.00,81884.10,1056,"2,121.15"
08-04-2021,84199.90,84499.95,82500.00,83107.75,2087,"1,999.95"
07-04-2021,82000.00,84075.85,81550.00,83701.00,662,"2,525.85"
06-04-2021,82700.00,82700.00,81238.65,82230.65,942,"1,461.35"
05-04-2021,82500.05,83317.00,81278.30,81536.45,1103,"2,038.70"
01-04-2021,82864.45,83442.85,82200.05,83172.20,628,"1,242.80"
31-03-2021,83439.95,83464.80,82000.00,82218.70,896,"1,464.80"
30-03-2021,82201.00,84000.00,81302.00,83219.00,1176,"2,698.00"
16-05-2022,72000.00,73200.00,70590.15,72587.75,395,"2,609.85"
26-03-2021,82150.00,82804.40,81800.05,82031.75,1077,"1,004.35"
25-03-2021,82400.95,82993.70,80638.10,81713.45,1695,"2,355.60"
24-03-2021,83910.00,84378.80,81900.05,82262.45,1173,"2,478.75"
23-03-2021,84000.00,84978.10,83605.80,84618.85,987,"1,372.30"
22-03-2021,84000.00,85394.40,82406.95,83770.55,1321,"2,987.45"
19-03-2021,83286.95,84900.00,80648.30,84550.25,1768,"4,251.70"
18-03-2021,86100.00,86388.60,83049.20,83187.35,1491,"3,339.40"
17-03-2021,87000.00,87329.00,85262.40,85541.60,1316,"2,066.60"
16-03-2021,88600.00,88600.00,86480.20,86828.85,1328,"2,119.80"
15-03-2021,88968.70,89477.75,87020.75,87572.05,1256,"2,457.00"
13-05-2022,67600.00,73141.75,67600.00,72000.30,1083,"5,541.75"
12-03-2021,89000.00,90245.00,88151.15,88830.30,2533,"2,093.85"
10-03-2021,89500.00,89780.50,88481.00,88692.95,720,"1,299.50"
09-03-2021,88050.00,89450.00,88000.15,89042.25,1631,"1,449.85"
08-03-2021,88700.00,89403.35,87303.30,87604.70,1115,"2,100.05"
05-03-2021,89700.00,89700.00,88010.15,88625.30,1319,"1,689.85"
04-03-2021,88510.00,90774.00,85756.20,89750.20,1722,"5,017.80"
03-03-2021,89300.00,89852.00,88579.95,89077.45,1333,"1,272.05"
02-03-2021,90000.00,90300.00,88500.00,89729.50,2472,"1,800.00"
01-03-2021,85500.00,89798.35,85269.50,89077.70,2582,"4,528.85"
26-02-2021,87347.00,87347.00,83786.00,84470.30,2494,"3,561.00"
12-05-2022,68070.00,68070.00,66685.10,67585.15,403,"1,384.90"
25-02-2021,88300.00,88677.00,87449.75,87673.15,949,"1,227.25"
24-02-2021,88000.00,94000.00,85020.00,87714.35,5442,"8,980.00"
23-02-2021,87400.00,88000.00,85858.80,87516.90,2427,"2,141.20"
22-02-2021,88400.00,88790.15,86272.45,86995.05,1990,"2,517.70"
19-02-2021,88499.95,89346.20,86985.90,88100.45,2243,"2,360.30"
18-02-2021,90300.00,90300.00,88500.00,88908.35,2609,"1,800.00"
17-02-2021,90490.00,90558.75,87224.25,88811.55,2668,"3,334.50"
16-02-2021,91000.00,91609.00,89077.00,89506.40,3671,"2,532.00"
15-02-2021,92700.00,92700.00,89884.95,90443.00,2700,"2,815.05"
12-02-2021,91990.00,93482.55,90076.65,91213.15,5157,"3,405.90"
11-05-2022,68100.00,69233.50,67885.05,68119.55,287,"1,348.45"
11-02-2021,96502.00,98575.90,89150.00,90076.80,7487,"9,425.90"
10-02-2021,93979.95,97921.70,92785.35,97008.00,3919,"5,136.35"
